
country,male_name,female_name
Nepal,Rajesh,Priya
Venezuela,José,María
Malaysia,Muhammad,Siti
Spain,Antonio,María
United States,Liam,Emma
Albania,Luka,Anila
Madagascar,Hery,Nirina
Morocco,Mohamed,Fatima
Argentina,Julián,Sofía
Ghana,Kwame,Akosua
Germany,Paul,Emma
Philippines,José,Maria
Colombia,Santiago,Valentina
South Africa,Liam,Emma
Vietnam,Nguyen,Tran
Egypt,Mohamed,Fatma
Tunisia,Mohamed,Fatima
Bangladesh,Mohammed,Fatema
United Arab Emirates,Mohammed,Fatima
Macedonia,Stefan,Ana
Ethiopia,Mohammed,Fatima
Algeria,Mohamed,Fatima
Italy,Francesco,Giulia
Nigeria,Emeka,Chimamanda
India,Aarav,Saanvi
Indonesia,Muhammad,Siti
Sri Lanka,Nimal,Samantha
Mexico,Sofía,Diego
Georgia,Giorgi,Nino
Turkey,Emir,Zeynep
Pakistan,Muhammad,Aisha
Serbia,Stefan,Ana
Brazil,Miguel,Sophia
United Kingdom,Oliver,Olivia
Armenia,Aram,Anna
Canada,Liam,Emma
Australia,Oliver,Charlotte
Dominican Republic,Juan,María
Ukraine,Oleksandr,Olha
China,Wei,Li
Poland,Jakub,Zuzanna
France,Gabriel,Emma
Kenya,Juma,Amani
Uzbekistan,Aziz,Malika
Nicaragua,José,María
Portugal,João,Maria
Benin,Koffi,Sophie
Hungary,László,Katalin
Uganda,Samuel,Amani
Ireland,Jack,Emily
Cameroon,Jean,Marie
Zimbabwe,Tendai,Nyasha
Tanzania,Mohamed,Aisha
Honduras,José,María
Netherlands,Noah,Emma
North Macedonia,Aleksandar,Ana
Palestinian Territories,Mohammed,Fatima
Croatia,Luka,Ana
Zambia,Chanda,Tiyanjana
Bosnia and Herzegovina,Marko,Ana
Greece,Giorgos,Maria
Bulgaria,Alexander,Maria
Kazakhstan,Dmitry,Aigerim
Rwanda,Eric,Chantal
Jordan,Mohammed,Fatima
Jamaica,Javon,Aaliyah
Lebanon,Mohammed,Fatima
Bolivia,José,María
Peru,Liam,Sofía
South Korea,Joon,Seo-yeon
El Salvador,José,María
Romania,Andrei,Maria
Saudi Arabia,Mohammed,Fatimah
Chile,Mateo,Isidora
Sweden,William,Alice
Azerbaijan,Elvin,Leyla
Uruguay,Juan,Sofía
Haiti,Jean,Marie
Thailand,Nattapong,Siri
Qatar,Mohammed,Fatima
Finland,Leo,Aino
Moldova,Andrei,Ana
Costa Rica,José,María
Czech Republic,Jakub,Anna
Guatemala,José,María
Belgium,Liam,Emma
New Zealand,Oliver,Charlotte
Estonia,Kristjan,Marie
Myanmar,Aung,Su
Singapore,Ethan,Sofia
Cyprus,George,Maria
"Congo, the Democratic Republic of the",Jean,Marie
Slovakia,Jakub,Emma
Kyrgyzstan,Askar,Ainura
Dominica,Jaden,Aaliyah
Ecuador,José,María
Somalia,Mohamed,Ayaan
Lithuania,Tomas,Eglė
Montenegro,Stefan,Milica
Austria,Paul,Anna
Israel,David,Maya
Cambodia,Sokha,Sreymuch
Slovenia,Luka,Ana
Oman,Mohammed,Aisha
Yemen,Mohammed,Fatima
Taiwan,Cheng,Mei
Cote d'Ivoire,Mohamed,Fatoumata
Switzerland,Luca,Sophia
Panama,Liam,Sofia
Malawi,Chimwemwe,Thoko
Latvia,Mārtiņš,Laura
Suriname,Jaylon,Kamara
Hong Kong,Jayden,Emma
Tajikistan,Muhammad,Sadia
Denmark,William,Emma
Sierra Leone,Mohamed,Fatmata
Norway,Jakob,Emma
Belize,Michael,Maria
Japan,Ren,Yui
Botswana,Thabo,Tshireletso
Kuwait,Mohammed,Fatima
Malta,Luca,Emma
Mozambique,Pedro,Maria
Bahrain,Mohammed,Fatima
Mali,Mohamed,Fatoumata
Djibouti,Mohammed,Amina
Mongolia,Batbayar,Naran
Papua New Guinea,Tendai,Maria
Saint Vincent and the Grenadines,Jaden,Aaliyah
Paraguay,Juan,Maria
Togo,Kofi,Afia
Mauritius,Raj,Anjali
Trinidad and Tobago,Jayden,Aaliyah
Senegal,Mamadou,Aissatou
Burkina Faso,Ousséni,Aminata
Congo,Jean,Marie
Gambia,Ousman,Fatou
Guyana,Daniel,Saheli
Luxembourg,Luca,Emma
Fiji,Jone,Litia
Mauritania,Mohamed,Aissatou
Antigua and Barbuda,Javon,Tameika
Barbados,Jayden,Amara
Puerto Rico,Luis,María
Cayman Islands,Liam,Isabella
Angola,José,Maria
Saint Lucia,Jaden,Ariana
Laos,Souk,Nok
Namibia,John,Maria
Guinea,Ibrahima,Aissatou
Niger,Mohammed,Amina
Timor-Leste,José,Maria
Bhutan,Tashi,Pema
Chad,Moussa,Aminata
Guinea-Bissau,Mamadou,Fatou
Montserrat,Nathan,Jasmine
Swaziland,Siyabonga,Thandiwe
Jersey,Oliver,Emily
Maldives,Mohamed,Aisha
Lesotho,Thabo,Matšepo
Grenada,Jayden,Aaliyah
Gabon,Mouanga,Nze
Guam,Michael,Maria
Brunei Darussalam,Mohammad,Siti
Martinique,Léandro,Maëva
Turkmenistan,Myrat,Ayjan
Monaco,Luca,Emma
Macao,Júnior,Ana
